"notation","title","description","id","title_en","description_en"
"1","Anforderungsbereich I","""""Verfügbarkeit der für die Bearbeitung der Aufgaben notwendigen inhaltlichen und methodischen Kenntnisse\n\nDie Leistungen umfassen im Anforderungsbereich I:""""","s7e",,
"1.1","die sich aus der Aufgabe, dem Material oder der Problemstellung ergebenden Arbeitsaufträge identifizieren","","c4u",,
"1.2","das der Aufgabenstellung oder dem Material zugrundeliegende Thema erfassen","","p2f",,
"1.3","den Text- bzw. Materialinhalt geordnet wiedergeben","","y4g",,
"1.4","die eigenen Kenntnisse mit dem Thema, dem Hauptgedanken, der Problemstellung verbinden","","d3r",,
"1.5","über die dem Thema, dem Bereich entsprechenden Fachbegriffe verfügen","","h5u",,
"1.6","die der Aufgabe entsprechende(n) Schreibform(en) benutzen","","x3u",,
"1.7","die der Aufgabenstellung entsprechenden geübten Methoden und Arbeitstechniken anwenden","","c6g",,
"1.8","sprachnorm- und anforderungsgerecht formulieren","","z9t",,
"1.9","zusätzliche Anforderungen an die mündliche Darstellung","","z9u",,
"1.9.1","in der Standardsprache sprechen, vortragen","","h7q",,
"1.9.2","beim Sprechen, Vortrag auch Betonung, Lautstärke, Tempo/Pausen, Stimmhebung und -senkung und Medien nutzen","","q6p",,
"2","Anforderungsbereich II","""""Selbständiges Erfassen, Einordnen, Strukturieren und Verarbeiten der aus der Thematik, dem Material und der Aufgabenstellung erwachsenden Fragen/Probleme und deren entsprechende gedankliche und sprachliche Bearbeitung.\n\nDie Leistungen umfassen im Anforderungsbereich II:""""","f6c",,
"2.1","einen längeren oder einen komplexen Text bzw. Materialinhalt in eigenständiger Formulierung wiedergeben oder zusammenfassen","","f2x",,
"2.2","die Hauptgedanken eines Textes und seine Argumentation differenziert erfassen","","r5x",,
"2.3","Bezüge in Texten bzw. Materialien erkennen, um Aussagen zu erfassen","","g5g",,
"2.4","poetische/stilistische/rhetorische Mittel in einem Text erkennen, beschreiben und untersuchen","","h7u",,
"2.5","inhaltliche und methodische Kenntnisse auf unbekannte Sachverhalte sinnvoll beziehen","","p2t",,
"2.6","die eigenen Ausführungen gedanklich strukturiert sowie inhaltlich klar und differenziert darstellen","","c7v",,
"2.7","die eigenen Ausführungen sprachlich angemessen und in Wortwahl und Satzbau differenziert darstellen","","q5d",,
"2.8","zusätzliche Anforderungen an die mündliche Darstellung","","a4b",,
"2.8.1","einzelne Themen jeweils in geeigneten und unterschiedlichen Formen medial aufbereiten","","a9e",,
"2.8.2","den Vortrag weitgehend frei (vom Stichwortzettel gelöst) gestalten","","v4u",,
"2.8.3","auf eine differenzierte Wortwahl, insbesondere im Hinblick auf Fremdwörter und Fachbegriffe achten","","p4f",,
"2.8.4","nonverbale Gestaltungsmittel sachangemessen einsetzen und den Zuhörer damit verstärkt einbeziehen (Körperhaltung, Gestik, Mimik, Blickkontakt)","","h4s",,
"3","Anforderungsbereich III","""""Eigenständige Reflexion, Bewertung bzw. Beurteilung einer komplexen Problemstellung/Thematik oder entsprechenden Materials und ggf. die Entwicklung eigener Lösungsansätze.\n\nDie Leistungen umfassen im Anforderungsbereich III:""""","b2y",,
"3.1","komplexe, anspruchsvolle Texte, Problemstellungen, Materialien erfassen und bearbeiten","","h4e",,
"3.2","die Aussagen eines Textes, eine Problemstellung in weitere Zusammenhänge einordnen und entsprechend detailliert untersuchen","","t6f",,
"3.3","begründete Folgerungen aus der Text-, Material- oder Problembearbeitung ziehen und formulieren","","a4e",,
"3.4","Deutungsansätze poetischer/stilistischer/rhetorischer Mittel in einem Text entwickeln","","q2q",,
"3.5","spezielles Fachwissen nutzen","","c6h",,
"3.6","eigene Textproduktion originell und kreativ gestalten","","h9f",,
"3.7","einen eigenen Standpunkt begründet darstellen","","b3y",,
"3.8","dem Thema, der Gestaltung gemäße oder auch kontrastierende Darstellungsformen entwickeln","","p3d",,
"3.9","begründete Vermutungen formulieren","","h6p",,
"3.10","selbstständige Schlussfolgerungen entwickeln","","r4c",,
"3.11","kritische Bewertungen vornehmen","","t6d",,
"3.12","eigenständige Lösungsansätze entwickeln","","s6s",,
"3.13","Alternativen aufzeigen","","u6b",,
"3.14","begründete Urteile formulieren","","s3d",,
"3.15","das eigene Vorgehen kritisch untersuchen und beurteilen","","b2x",,
"3.16","eine eigenständige gedankliche und sprachliche Darstellung umsetzen","","c4z",,
"3.17","zusätzliche Anforderungen an die mündliche Darstellung","","y6y",,
"3.17.1","auf Verständnisfragen zum Thema sachkompetent antworten","","s9b",,
"3.17.2","das Gruppengespräch strukturieren (nachfragen, Denkanstöße geben, zielorientiert zusammenfassen)","","d9h",,
"3.17.3","aufmerksam zuhören und Äußerungen anderer einschätzen, aufgreifen und ggf. anerkennen","","c5f",,
